[|1]: Project-Id-Version: MIUI Watch\nLast-Translator: Automatically generated\nLanguage-Team: none\nLanguage: zh_CN\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\n
[%.*fcnt/min.sport|2]: %.*f次/分|%.*f次/分
[blue_break.mihome|1]: 蓝牙已断开
[blue_break.mute|1]: 蓝牙已断开
[blue_break.nfc|1]: 蓝牙已断开
[blue_know.mihome|1]: 知道了
[blue_know.mute|1]: 知道了
[blue_retry.mute|1]: 请连接后重试
[blue_retry.nfc|1]: 请连接后重试
[bobby_jump.sport|1]: 波比跳
[bocci.sport|1]: 地掷球
[body_allow_high.temp|1]: 检测到表体温度过高，可能会影响数据准确性，甚至无法出值。
[body_allow_low.temp|1]: 检测到表体温度过低，可能会影响数据准确性，甚至无法出值。
[body_not_allow_high.temp|1]: 检测到表体温度过高，无法准确测量，请稍后再测。
[body_not_allow_low.temp|1]: 检测到表体温度过低，无法准确测量，请稍后再测。
[bound_id.wxpay|1]: 绑定微信号
[bowling.sport|1]: 保龄球
[boxing.sport|1]: 拳击
[bp_ecg_recorder.health|1]: 腕部心电血压记录仪
[bp_exp1.bp|1]: 血压是指血管内的血液对单位面积血管壁的侧压力，度量单位通常使用毫米汞柱（mmHg）。
[bp_exp2.bp|1]: 以下是对高压、低压值的分类显示，标准来源于《中国高血压防治指南（2018年修订版）》：
[bp_exp4.bp|1]: 血压单位说明：
[bp_exp5.bp|1]: mmHg(毫米汞柱)和kPa(千帕斯卡)均为血压的计量单位，mmHg（毫米汞柱）是国际上通用单位，可在单位设置中手动切换，\n 1mmHg=0.133kPa
[bp_explain.bp|1]: 血压说明
[breakdance.sport|1]: 霹雳舞
[breaststroke.sport|1]: 蛙泳
[breath.health|1]: 呼吸
[breath_btn.pressure|1]: 呼吸训练
[breath_sub_exp.sleep|1]: 开启后，监测到夜间睡眠入睡会自动监测呼吸质量（请在App端查看睡眠呼吸质量分数）
[breath_switch.sleep|1]: 睡眠呼吸质量监测
[breath_time.breath|1]: 呼吸时长
[breath_title1.breath|1]: 呼吸
[breath_train.common|1]: 呼吸训练
[brides.sport|1]: 桥牌
[brightness.settings|1]: 屏幕亮度
[brightness_auto.settings|1]: 自动亮度
[brightness_set.settings|1]: 自定义亮度
[brightness_set_28.settings|1]: 自定义亮度
[brightness_title.settings|1]: 屏幕亮度
[brisk_walk.sport|1]: 快走
[brpg.sport|1]: 桌游
[bt_disconn.check_tool|1]: 蓝牙已断开连接，连接蓝牙后再继续检测
[bt_disconn.common|1]: 蓝牙已断开
[bt_disconn.find_phone|1]: 蓝牙已断开
[bt_disconn.phone|1]: 蓝牙已断开
[bt_disconn.remote_camera|1]: 蓝牙已断开
[bt_test.check_tool|1]: 蓝牙检测(1/14)
[btn_confirm.sport|1]: 确定
[buring_zone.hr|1]: 燃脂区间：
[buring_zone1.hr|1]: 最大心率 x（ 61% - 70% ），在此区间燃脂比例最高，适用于减肥掉脂。
[butterfly.sport|1]: 蝶泳
[calculate_the_lead/lag_distance_according_to_the_set_pace.sport|1]: 根据设定配速，计算领先/落后距离。
[calendar.appname|1]: 日历
[calllog.phone|1]: 通话记录
[calorie|1]: 卡路里
[calorie.act|1]: 卡路里
[calorie.explain|1]: 动态卡路里指标反映了体力活动消耗的能量。每日通过运动消耗一定的能量，结合饮食控制，可以保持能量平衡。
[calorie_reach.act|1]: 卡路里目标达成
[calorie_title.explain|1]: 卡路里
[camera_know|1]: 知道了
[cancel.alipay|1]: 取消
[cancel.bp|1]: 取消测量
[cancel.common|1]: 取消
[cancel.wxpay|1]: 取消
[cancel_mark.wm|1]: 取消标记
[canoeing.sport|1]: 皮划艇
[cardBag|1]: 卡包
[card_id.check_tool|1]: 卡ID:
[card_know.nfc|1]: 知道了
[cd_%d_pay.nfc|2]: 请在%ds内付款|请在%ds内付款
[cf_lunar.calendar|1]: 春分
[change_item_time.sport|1]: 换项时长
[change_terms_for_a_while.sport|1]: 换项一时长
[change_the_term_for_two_hours.sport|1]: 换项二时长
[charge_compare.reminder|1]: 充电完成
[charge_no.check_tool|1]: 请连接充电器
[charge_test.check_tool|1]: 充电检测(12/14)
[charge_yes.check_tool|1]: 已连接充电器
[chart_content.wm|1]: 2.智能预测数据不准？
[chart_content_notes.wm|1]: 如果智能预测数据不准确，请核对历史经期数据，或在App端修改生理期的基本信息设置。
[chart_exp.wm|1]: 1.图表解释
[check_result.check_tool|1]: 检测结果
[chesee_and_card_games.sport|1]: 棋牌运动
[chess.sport|1]: 国际象棋
[chronograph.appname|1]: 秒表
[chu_day_lunar.calendar|1]: 初
[circulation.sport|1]: 循环
[clear_all.notify|1]: 清除全部
[clear_message.notify|1]: 清空
[climb_stairs.sport|1]: 爬楼梯
[climbing.sport|1]: 登山
[climbing_machine.sport|1]: 爬楼机
[close.settings|1]: 关闭
[close.share|1]: 关闭
[close.sport|1]: 关闭
[close_28.settings|1]: 关闭
[close_ing.mute|1]: 开启中
[close_reminder.sport|1]: 关闭所有提醒
[close_ring.mute|1]: 关闭铃声
[close_sedentary.act|1]: 确认关闭今日的站立提醒？
[cnt.common|1]: 次
[cnt/min.common|1]: 次/分
[cnt/min.sport|1]: 次/分
[collect_done.ecg|1]: 测量完成
[color.wf|1]: 颜色
[common_sport.home|1]: 常用运动
[compass|1]: 指南针
[complete.reminder|1]: 完成站立
[complete_help.reminder|1]: 适当站立活动有益健康
[completed.todo|1]: 已完成
[completed32.todo|1]: 已完成
[confirm.common|1]: 确认
[confirm_phone.setupwizard|1]: 请在手机上确认\n配对
[confirm_resquest.system|1]: 请确认手机的配对请求
[conn_retry.common|1]: 请连接后重试
[conn_retry.find_phone|1]: 请连接后重试
[conn_retry.phone|1]: 请连接后重试
[conn_retry.remote_camera|1]: 请连接后重试
[connect.ecg|1]: 请连接小米运动健康App并在“心电图”中查看心电图。\n请注意手表无法检测心脏病发作迹象，如有需要请立即联络专业医疗机构。\n如有不适，可到app端添加症状，辅助医生解读心电图时给出更有效评估。
[connect_lost_content.alexa|1]: Connect to Mi Fitness and let the app run in the background.
[connect_lost_title.alexa|1]: Connect to the app
[connected.common|1]: 已连接
[connected.sport|1]: 已连接
[connection_failed.common|1]: 连接失败
[connection_failed.sport|1]: 连接失败
[connectknow.alarm|1]: 知道了
[continue.common|1]: 继续
[continue.temp|1]: 继续测量
[core_training.sport|1]: 核心训练
[countdown|1]: 倒计时
[course_introduce.sport|1]: 课程介绍
[course_segment_activity_time.sport|1]: 活动时间
[cricket.sport|1]: 板球
[cross_country.sport|1]: 越野
[cross_country_skiing.sport|1]: 越野滑雪
[cross_fit.sport|1]: 交叉训练
[cs_lunar.calendar|1]: 处暑
[curling.sport|1]: 冰壶
[current.breath|1]: 当前心率
[current.hr|1]: 当前心率
[custom.alarm|1]: 自定义
[custom.common|1]: 自定义
[custom.timer|1]: 自定义
[customize.sport|1]: 自定义
[cx_festival.calendar|1]: 除夕
[cy_festival.calendar|1]: 重阳节
[cycling_moto.sport|1]: 小轮车
[dance.sport|1]: 舞蹈
[darts.sport|1]: 飞镖
[data.wf|1]: 组件
[data_explain.act|1]: 数据说明
[data_overdue.weather|1]: 数据已过期
[data_record.watchface|1]: 组件
[data_title.act|1]: 数据说明
[date|1]: 日期
[date_m%d%d%d%d.bp|1]: %1$d/%2$d %3$02d:%4$02d
[date_y%d%d%d%d%d.bp|1]: %1$d/%2$d/%3$d %4$02d:%5$02d
[day_after_tomorrow.wm|1]: 后天
[day_oxygen.settings|1]: 全天血氧监测
[day_pressure.settings|1]: 全天压力监测
[deadlift.sport|1]: 硬拉
[deep.sleep|1]: 深睡
[default_aod.settings|1]: 默认息屏样式
[default_aod.watchface|1]: 默认息屏样式
[del_all.common|1]: 清除全部
[del_tip.watchface|1]: 确定删除该表盘？
[delay.calendar|1]: 稍后
[delay.todo|1]: 稍后
[delay_10m.common|1]: 10分钟后提醒
[delay_10m_agn.calendar|1]: 10分钟后再次提醒
[delay_10m_agn.common|1]: 10分钟后再次提醒
[delay_10m_agn.reminder|1]: 10分钟后再次提醒
[delete.common|1]: 删除
[destretching.sport|1]: 去拉伸
[detail.alipay|1]: 请打开手机支付宝，在智能手表页面查看服务协议。
[detail.calendar|1]: 日程详情
[detect_exercising.sport|1]: 检测到您正在运动
[detect_exp1.bp|1]: 气囊检测中...
[detect_exp2.bp|1]: 测量前需先检测气囊安装情况 
[detect_ok.bp|1]: 检测完成
[device_name.common|1]: 设备名称
[device_name.settings|1]: 设备名称
[device_type.common|1]: 型号
[device_type.settings|1]: 型号
[devices_conn.sport|1]: 可连接设备
[dh_lunar.calendar|1]: 大寒
[dia_e.bp|1]: (舒张压)
[dial.wf|1]: 刻度
[disconnect.common|1]: 断开连接
[disconnect.sport|1]: 断开连接
[disconnect_retry.common|1]: 蓝牙未连接\n请连接蓝牙再试试吧
[disp_reminder.settings|1]: 开启息屏显示后，将优先使用表盘自带的息屏样式，若无自带样式,\n则使用该默认息屏样\n式。
[display.settings|1]: 显示与亮度
[display_on.sport|1]: 屏幕常亮
[display_title.settings|1]: 显示与亮度
[distance_calibration.sport|1]: 距离校准
[distance_group.sport|1]: 本组(km)
[distance_group_imp.sport|1]: 本组(mile)
[distance_remind.sport|1]: 距离提醒
[distance_too_short.sport|1]: 本次运动距离过\n短，记录将不被保\n存。
[distance_too_short_resume.sport|1]: 本次运动距离过\n短，记录将不被保\n存，是否结束？
[disturb.settings|1]: 勿扰模式
[disturb_disconn.settings|1]: 蓝牙已断开
[disturb_sync.settings|1]: 同步手机
[disturb_sync_info.settings|1]: 开启后，手机和设备的勿扰状态将互相同步。
[disturb_title.settings|1]: 勿扰模式
[dodgeball.sport|1]: 躲避球
[done.hour%02d:%02d:%02d|1]: 已过去%02d:%02d:%02d
[done.min%02d:%02d|1]: 已过去%02d:%02d
[done.wxpay|1]: 完成
[dont_shake1.oxygen|1]: 尽量不要晃动
[dont_shake2.oxygen|1]: 请尽量保持手臂静止
[double_board_skiing.sport|1]: 双板滑雪
[dragon_boat.sport|1]: 龙舟
[draughts.sport|1]: 国际跳棋
[driving.sport|1]: 跳水
[ds_lunar.calendar|1]: 大暑
[dsc_blood_oxygen.sport|1]: 血氧饱和度
[dsc_cadence.sport|1]: 步频(步/分)
[dsc_cadence_avg.sport|1]: 平均步频(步/分)
[dsc_calorie.sport|1]: 千卡
[dsc_change_time.sport|1]: 换项时长
[dsc_distance_backward.sport|1]: 落后距离(公里)
[dsc_distance_backward_imp.sport|1]: 落后距离(英里)
[dsc_distance_lead.sport|1]: 领先距离(公里)
[dsc_distance_lead_imp.sport|1]: 领先距离(英里)
[dsc_elevation.sport|1]: 当前海拔(米)
[dsc_elevation_avg.sport|1]: 平均海拔(米)
[dsc_elevation_gain.sport|1]: 累计上升(米)
[dsc_elevation_loss.sport|1]: 累计下降(米)
[dsc_freq_avg.sport|1]: 平均频率(个/分)
[dsc_front_pace.sport|1]: 前段配速
[dsc_group.sport|1]: 组数
[dsc_pace_avg.sport|1]: 平均配速
[dsc_speed.sport|1]: 速度(km/h)
[dsc_speed_avg.sport|1]: 平均速度(km/h)
[dsc_step_cnt.sport|1]: 步数
[dsc_trips.sport|1]: 趟
[dumbbell_training.sport|1]: 哑铃训练
[duration_between.temp|1]: 佩戴不足10分钟，可能会影响数据准确性，建议稍后测量。
[duration_group.sport|1]: 本组时长
[duration_less.temp|1]: 佩戴不足3分钟，无法准确测量，建议佩戴超过10分钟后再测。
[dx_lunar.calendar|1]: 大雪
[dy_festival.calendar|1]: 端午节
[dz_lunar.calendar|1]: 冬至
[easy_pregnancy.wm|1]: 易孕期
[easypregnancy_in%d.wm|2]: 易孕期第%d天|易孕期第%d天
[easypregnancy_out%d.wm|2]: %d天后易孕期|%d天后易孕期
[edit.common|1]: 编辑
[edit_widgets.home|1]: 编辑组件
[editalarm.alarm|1]: 设置
[effect_level1.sport|1]: 微量
[effect_level2.sport|1]: 恢复
[effect_level3.sport|1]: 维持
[effect_level4.sport|1]: 改善
[effect_level5.sport|1]: 提升
[effect_level6.sport|1]: 过量
[effect_of_anaerobic_training.sport|1]: 无氧训练效果
[effectiveStand|1]: 有效站立
[electronic_sports.sport|1]: 电子竞技
[elevation_avg_imp.sport|1]: 平均海拔(英尺)
[elevation_gain_imp.sport|1]: 累计上升(英尺)
[elevation_imp.sport|1]: 当前海拔(英尺)
[elevation_loss_imp.sport|1]: 累计下降(英尺)
[eleven_month_lunar.calendar|1]: 冬月
[elliptical_machine.sport|1]: 椭圆机
[empty_message.phone|1]: 请在App"来电提\n醒"中开启短信回复\n权限。
[empty_record.sport|1]: 暂无运动记录
[empty_tips.phone|1]: 暂无通话记录
[enable_again.wxpay|1]: 重新开启
[enable_again_tips.wxpay|1]: 为保证安全，请微信扫码重新开启。
[enable_sleep_mode.reminder|1]: 目前为睡眠模式，已为您开启勿扰模式并关闭抬腕亮屏
[enabled.wxpay|1]: 已开启
[enabling.wxpay|1]: 开启中，请在手机上操作。
[end.common|1]: 结束
[end.find_phone|1]: 查找结束
[end.settings|1]: 结束
[end.sport|1]: 结束
[end.timer|1]: 时间到
[end_time.settings|1]: 结束时间
[energy|1]: 能量
[energy.sport|1]: 能量补给
[energy_distance.sport|1]: 按距离
[energy_time.sport|1]: 按时长
[enter_pwd.nfc|1]: 输入密码
[ephemeris_expired.sport|1]: 定位数据更新
[ephemeris_expired_tips.sport|1]: 星历数据过期，定位速度可能变慢，连接手机可自动更新星\n历。
[equesttrian.sport|1]: 马术
[err.aivs|1]: 网络不可用，请检查手机网络状态
[erst.nfc|1]: 状态异常
[estimate.settings|1]: 续航预估
[estimate_content.settings|1]: 可用时长根据实验室数据预估，仅供参考，实际时间取决于使用习惯等共同影响。
[every_day.alarm|1]: 每天
[every_day.todo|1]: 每天
[every_month.todo|1]: 每月
[every_week.todo|1]: 每周
[every_year.todo|1]: 每年
[executive_fail.mihome|1]: 场景执行失败
[exhale.breath|1]: 呼气
[exit.alipay|1]: 当前未完成绑定，下次进来需要重新扫码绑定。
[exit.wxpay|1]: 退出
[exit_btn.alexa|1]: Got it
[exit_cancel.wxpay|1]: 暂不退出
[exit_confirm.alipay|1]: 继续退出
[exit_sign.check_tool|1]: 3秒后切换到user mode
[exit_tip.wxpay|1]: 正在开启微信支付，确定退出？
[exp.hr|1]: 心率说明
[exp.oxygen|1]: 说明
[exp.vitality|1]: 说明
[exp1.temp|1]: 皮肤温度是指被测者身体皮肤的温度，人体各部位的皮肤温度不同，且受环境、生理条件等影响显著。\n本设备测量的皮肤温度是由手表内置传感器接触的局部皮肤表面温度推测的综合身体皮肤温度，测量范围在34-42℃。\n请注意本品非医疗器械，测量结果仅供参考，不作为医疗用途。
[exp1_n60.temp|1]: 皮肤温度是指被测者身体皮肤的温度，人体各部位的皮肤温度不同，且受环境、生理条件等影响显著。\n本设备测量的皮肤温度是由手表内置传感器接触的局部皮肤表面温度推测的综合身体皮肤温度，测量范围在34-42℃。\n请注意本品测量结果仅供参考，不作为医疗用途。
[exp2.temp|1]: 手表依赖温度检测传感器来采集温度，设备佩戴时长、周围环境温度等因素都会影响到数据准确性，可参考以下注意事项正确使用，有助于减少误差：\n 1、确保佩戴本设备10分钟以上。\n 2、尽量在室温（25℃左右）条件下测量。\n 3、请保持手表和手腕间处于干燥状态，如有汗液、水渍请先擦干。\n 4、使用高功耗应用、充电可能会导致表体发热，请等待表体恢复到正常温度再进行测量。
[exp_desc1.vitality|1]: 元气值可用于评估个人活动对健康的积极影\n响，当近7日累计元气值达到100时，有明显的健康改善作用。
[exp_desc2.vitality|1]: 元气值参考了《世卫组织关于身体活动和久坐行为的指南》的活动建议：\n成年人每周应该进行至少150-300分钟的中\n等强度有氧活动；或至少75-150分钟的剧烈强度有氧活动；或者等量的中等强度和剧烈强度组合活动，可以获得巨大健康收益。\n同时，少量身体活动优于不活动。原本的久坐时间用来进行各种强度的身体活动（包括低强度活动）能带来健康收益。
[exp_title.oxygen|1]: 血氧饱和度说明
[experien.setupwizard|1]: 立即体验
[expired.todo|1]: 已过期
[explain_title.settings|1]: 说明
[extreme.common|1]: 极限
[extreme_zone.hr|1]: 极限区间：
[extreme_zone1.hr|1]: 最大心率 x（ 91% - 100% ），适用于训练爆发力，此时以无氧代谢为主要的能量来源，乳酸快速积\n累，容易在运动过程中受伤。
[extremity.sport|1]: 极限
[fail_exp1.bp|1]: 检测到不规则心跳，请休息1-2分钟后再测量。若多次出现此提示或感觉不适，请及时咨询医生。
[fail_exp1.ecg|1]: 请佩戴好手表，保持手指与下按键接触。
[fail_exp2.bp|1]: 请保持静坐姿势，避免说话、移动手臂或活动手指。
[fail_exp2.ecg|1]: 手腕晃动幅度较大，请将手指放在下按键尽量保持不动。
[fail_exp3.bp|1]: 请检查气囊气密性、佩戴松紧度，调整佩戴角度后重新测量。
[fail_exp3.ecg|1]: 未知原因
[fail_exp4.bp|1]: 请检查佩戴松紧度，调整腕带重新测量。
[fail_exp4.ecg|1]: 请轻触按键，勿用力按压电极。
[fail_exp5.bp|1]: 加压异常，请重试。
[fail_exp5.ecg|1]: 信号质量差，请确认下按键无脏污，并保持手指与下按键稳定接触。
[fail_exp6.bp|1]: 测量超时，请重试。
[fail_fit.health|1]: 测量失败，请保持手环与手腕舒适贴合
[fail_stay_still.health|1]: 测量失败，请尽量保持手臂静止
[fail_timeout.health|1]: 测量超时，请重试
[fail_wear.health|1]: 测量失败，请正确佩戴手环
[failed.alipay|1]: 绑定失败
[fancy_swimming.sport|1]: 花样游泳
[fast.sport|1]: 最快
[fat_burning.sport|1]: 燃脂
[fat_burning_interval.sport|1]: 燃脂区间
[fencing.sport|1]: 击剑
[fight.sport|1]: 搏击
[find_wear.reminder|1]: 查找设备中...
[finish.breath|1]: 完成
[finish.common|1]: 完成
[finish_course_great.sport|1]: 恭喜！跑步课程已完成
[finish_tips.nfc|1]: 请在APP交易记录中查看付款情况
[first_edit_tips1.watchface|1]: 即将进入表盘编辑\n编辑完成后点击确\n认应用表盘。
[first_mile_speed.sport|1]: 前一公里速度
[first_month_lunar.calendar|1]: 正月
[fishing.sport|1]: 钓鱼
[flashlight.appname|1]: 手电筒
[flexibility_training.sport|1]: 柔韧训练
[fly_kite.sport|1]: 放风筝
[focus_time.tomatotimer|1]: 专注时间
[focus_time_out.tomatotimer|1]: 专注时间到
[focus_total.tomatotimer|1]: 累计专注
[focus_total_pause.tomatotimer|1]: 累计专注
[focusing.tomatotimer|1]: 专注中
[foosball.sport|1]: 桌上足球
[football.sport|1]: 足球
[foredailyhead.weather|1]: 未来天气
[forget_pwd.common|1]: 忘记密码？
[forget_pwd_tips.common|1]: 若忘记密码，打开App，在“设备密\n码”设置中进行密码重置。
[free_sparring.sport|1]: 自由搏击
[free_stage.sport|1]: 自由活动阶段
[free_training.sport|1]: 自由活动
[freestyle.sport|1]: 自由泳
[frequency.breath|1]: 次/分
[frequency.sport|1]: 频率
[frisbee.sport|1]: 飞盘
[fsn_info.check_tool|1]: FSN号:
[full_hour.common|1]: 小时
[full_hour.settings|1]: 小时
[full_hour.timer|1]: 小时
[full_min.common|1]: 分钟
[full_min.settings|1]: 分钟
[full_min.timer|1]: 分钟
[functional_training.sport|1]: 功能性训练
[fw_ver.common|1]: 版本号
[fw_ver.settings|1]: 版本号
[gas_leak.bp|1]: 充气错误 
[gas_leak_exp.bp|1]: 请检查气囊气密性和佩戴松紧度，并正确佩戴。
[gateball.sport|1]: 门球
[gesture.settings|1]: 快捷手势
[gesture_course.settings|1]: 手势教程
[gesture_explain.settings|1]: 手势说明
[gesture_explain_title.settings|1]: 手势说明
[gesture_info.settings|1]: 通过自定义手势，可在特定场景完成指定操\n作。睡眠模式期间会屏蔽手势。
[gesture_info_lab1.settings|1]: 1.每个手势仅能设置一个功能
[gesture_info_lab2.settings|1]: 2.来电/消息相关功能仅在来电/消息提醒页响应
[gesture_info_lab3.settings|1]: 3.打开应用功能仅在主表盘亮屏时响应
[gesture_info_lab4.settings|1]: 4.睡眠模式/勿扰模式/省电模式/AOD表盘页面或检测到睡眠时不响应手势
[gesture_info_lab5.settings|1]: 5.日常活动请避免做相似手势，可能会误触发
[gesture_open_info.settings|1]: 为了提升体验，建议同时开启抬腕亮屏，开启后设备续航将会严重减少，确认开启抬腕亮屏和快捷手势？
[gesture_operate.settings|1]: 手势操作
[gesture_select1.settings|1]: 查看消息
[gesture_select1_28.settings|1]: 查看消息
[gesture_select2.settings|1]: 忽略来电/消息
[gesture_select2_28.settings|1]: 忽略来电/消息
[gesture_select3.settings|1]: 拒接来电
[gesture_select3_28.settings|1]: 拒接来电
[gesture_select4.settings|1]: 打开微信支付
[gesture_select4_28.settings|1]: 打开微信支付
[gesture_select5.settings|1]: 打开支付宝支付
[gesture_select5_28.settings|1]: 打开支付宝支付
[gesture_select6.settings|1]: 打开语音助手
[gesture_select6_28.settings|1]: 打开语音助手
[gesture_select7.settings|1]: 打开天气应用
[gesture_select7_28.settings|1]: 打开天气应用
[gesture_set.settings|1]: 手势设置
[gesture_title.settings|1]: 快捷手势
[get_fail.mihome|1]: 获取失败请重试
[get_information_tips.wxpay|1]: 开启微信支付时，手环会向微信传输蓝牙地址、设备型号信\n息。
[getting_songs.media|1]: 正在获取歌曲\n信息...
[getting_songs_w.media|1]: 正在获取歌曲信息...
[gnss_num.check_tool|1]: 卫星数量:
[gnss_sign.check_tool|1]: 请在户外/室内有卫星定位环境下测试
[gnss_snr.check_tool|1]: SNR值:
[gnss_test.check_tool|1]: 定位检测(2/14)
[go_to_the_app_side_to_check.sport|1]: 更多记录请同步数据后前往App端查看
[go_turnon.common|1]: 去开启
[golf.sport|1]: 高尔夫球
[good_keep.health|1]: 不错，请继续保持！
[goto_bind.alipay|1]: 去绑定
[goto_distance_calibration.sport|1]: 去校准
[goto_end.bp|1]: 去结束
[goto_miwear_app.sport|1]: 请前往小米运动健康App查看更多数据
[goto_set.settings|1]: 去设置
[goto_watchface.settings|1]: 打开应用功能仅在主表盘亮屏时生效，现在可以试着通过手势返回主表盘体验
[group_callisthenic.sport|1]: 团体操
[group_number%d.sport|2]: 第%d组|第%d组
[group_number.sport|1]: 总组数
[group_reset.sport|1]: 组间休息
[guidance_exp1.bp|1]: 请按图示双脚平放，避免交叉。
[gy_lunar.calendar|1]: 谷雨
[gym.sport|1]: 室内健身
[gymnastics.sport|1]: 体操
[gyro_test.check_tool|1]: 陀螺仪检测(4/14)
[hand_info.settings|1]: 试着快速向外翻转90\n度，再快速向内翻腕返回，等待识别结果，需识别成功2次
[handball.sport|1]: 手球
[handwrist_info1.settings|1]: 小臂与胸前平行
[handwrist_info2.settings|1]: 掌心向下，屏幕向上
[handwrist_info3.settings|1]: 快速向外翻转90度
[handwrist_info4.settings|1]: 再快速向内翻转返回
[has_done%d.breath|1]: 已经完成%d分钟的呼吸训练
[have_beat.hr|1]: 有异常心搏
[have_high.hr|1]: 有过高心率
[have_low.hr|1]: 有过低心率
[heartRate|1]: 心率
[heart_health.settings|1]: 心脏健康监测
[heartrate_high.sport|1]: 心率过高
[heartset.vitality|1]: 设置全天心率监测
[heartset_desc.vitality|1]: 元气值是根据所获得的心率及运动状态进行计算，提高心率的监测频率可使元气值计算更准确。
[heel_and_toe.sport|1]: 竞走
[help.alipay|1]: 使用支付宝扫码获取帮助
[hgrmbox.hr|1]: 开启后，心率将进行实时监测，记录\n心脏异常搏动数\n据，严重影响续\n航，确认开启？
[high.hr|1]: 过高心率
[high_interval_training.sport|1]: 高强度间歇训练
[high_warning.hr|1]: 高心率提醒
[high_warning1.hr|1]: 开启后，监测到安静状态下心率高于设置的心率值时进行提醒。
[highest.sport|1]: 最高
[highexp.hr|1]: 过高心率说明
[highexp1.hr|1]: 设备持续监测心率，\n发现在安静状态时心\n率持续高于设定值，\n将被记录为心率过\n高。可能由于紧张、\n兴奋、摄入咖啡因过\n多、感冒等引起，此\n时不必过于担心，但\n若同时出现心慌、胸\n闷、头晕等症状，请及时向医疗机构\n及时向医疗机构咨询。
[highexp2.hr|1]: 本产品非医疗器械，\n旨在帮助您了解心脏\n健康，所提供的记录\n仅供参考，不作为诊\n断和治疗依据。
[highexp3.hr|1]: 设备端只展示最近三\n段过高心率数据，更\n多请至App端查看。
[hightime.vitality|1]: 较大强度
[hihi_ball.sport|1]: 回力球
[hiking_outdoor.sport|1]: 徒步
[hint.alarm|1]: 暂无闹钟
[hint.ecg|1]: 将手指放在下按键上保持不动
[hint1.bp|1]: 测量前请休息5分钟以上
[hint_text.tomatotimer|1]: 为确保专注效果，使用过程中将自动开启勿扰模式。
[hip_hop_dance.sport|1]: 嘻哈舞
[hl_lunar.calendar|1]: 寒露
[hockey.sport|1]: 曲棍球
[hold.sport|1]: 请保持
[hold_it.settings|1]: 恭喜你已经掌握啦！
[holiday.alarm|1]: 节假日
[holiday.common|1]: 节假日
[holiday.todo|1]: 节假日
[holidayprmt_main.alarm|1]: 请连接App更新节假日信息
[holidayprmt_main.common|1]: 请连接APP更新节假日
[holidayprmt_sub.alarm|1]: 在您连接App前，节假日将默认为星期六和星期日。
[holidayprmt_sub.common|1]: 在您连接APP前，节假日将默认为星期六和星期日
[horse_riding.sport|1]: 骑马
[hour.common|1]: 时
[hour.sleep|2]: 时|时
[hour.sport|1]: 小时
[hour_allday.sleep|2]: 小时|小时
[how_get.training|1]: 如何获取？
[hp.bp|1]: 高压
[hr_current%s.sport|1]: 当前心率（%s）
[hr_exp.hr|1]: 心率是心脏每分钟跳动的次数（bpm），它是心血管健康的重要指标。\n成年人安静状态下的心率（静息心率）通常为55-80次/分，可因年龄、性别、健身水平或其他生理因素产生个体差异。\n注意：本设备测量范围为30-240次/分
[hr_recommend%s.sport|1]: 建议心率（%s）
[hr_recommend.sport|1]: 建议心率
[hula_hoop.sport|1]: 呼啦圈
[humdes.weather|1]: 相对湿度
[humidity|1]: 湿度
[hydration.sport|1]: 该补充水分啦
[i_clear.weather|1]: 晴
[i_fog.weather|1]: 雾
[i_hail.weather|1]: 冰雹
[i_haze.weather|1]: 雾霾
[i_hrain.weather|1]: 大雨
[i_hsnow.weather|1]: 大雪
[i_know.common|1]: 我知道了
[i_mrain.weather|1]: 中雨
[i_msnow.weather|1]: 中雪
[i_native.weather|1]: 阴天
[i_nclear.weather|1]: 晚晴
[i_nfog.weather|1]: 雾夜
[i_nnative.weather|1]: 阴天夜
[i_npcloudy.weather|1]: 多云夜
[i_pcloudy.weather|1]: 多云
[i_rainsnow.weather|1]: 雨夹雪
[i_srain.weather|1]: 小雨
[i_ssnow.weather|1]: 小雪
[i_storm.weather|1]: 沙尘暴
[i_thunder.weather|1]: 雷阵雨
[idle_alerm.alexa|1]: What day is today?
[idle_alerm2.alexa|1]: Set an alarm
[idle_try_to_say.alexa|1]: Try saying
[idle_weather.alexa|1]: What's the weather?
[ignore.common|1]: 忽略
[ignore.health|1]: 忽略
[ignore.hr|1]: 忽略本次
[ignore.oxygen|1]: 忽略本次
[ignore.pressure|1]: 忽略本次
[ill_btn.oxygen|1]: 说明
[ill_btn.pressure|1]: 说明
[ill_btn.sleep|1]: 说明
[ill_title.pressure|1]: 压力说明
[ill_title.sleep|1]: 睡眠说明
[in_charing.temp|1]: 检测到表体刚充完电，温度过高，建议15分钟后再测。
[in_quiet_mode.system|1]: 勿扰模式已开启
[inacticated_content.alexa|1]: Set up Amazon Alexa in Mi Fitness and sync with your device.
[inactivated_title.alexa|1]: Activate Alexa
[indexhead.weather|1]: 天气指数
[indoor_football.sport|1]: 室内足球
[indoor_skating.sport|1]: 室内滑冰
[info.tomatotimer|1]: 说明
[inhale.breath|1]: 吸气
[inout_wirst.settings|1]: 向外向内翻腕
[input.settings|1]: 输入信息
[input_key.system|1]: 请输入密钥
